"packages","version"
"abind","1.4-5"
"acepack","1.4.1"
"AER","1.2-8"
"askpass","1.1"
"assertthat","0.2.1"
"backports","1.1.5"
"base64enc","0.1-3"
"BBmisc","1.11"
"bdsmatrix","1.3-3"
"BH","1.69.0-1"
"bibtex","0.4.2"
"bindr","0.1.1"
"bindrcpp","0.2.2"
"bit","1.1-14"
"bit64","0.9-7"
"bitops","1.0-6"
"blob","1.2.0"
"brew","1.0-6"
"callr","3.3.2"
"car","3.0-5"
"carData","3.0-3"
"caret","6.0-84"
"caTools","1.17.1.2"
"cellranger","1.1.0"
"checkmate","1.9.4"
"chron","2.3-54"
"class","7.3-15"
"classInt","0.4-2"
"cli","1.1.0"
"clipr","0.7.0"
"coda","0.19-3"
"colorspace","1.4-1"
"CombMSC","1.4.2.1"
"corrplot","0.84"
"crayon","1.3.4"
"crosstalk","1.0.0"
"curl","4.2"
"DAAG","1.22.1"
"data.table","1.12.6"
"DBI","1.0.0"
"deldir","0.1-23"
"Deriv","3.9.0"
"desc","1.2.0"
"descomponer","1.5"
"DiagrammeR","1.0.1"
"digest","0.6.23"
"doParallel","1.0.15"
"downloader","0.4"
"dplyr","0.8.3"
"DT","0.10"
"dtw","1.21-3"
"dygraphs","1.1.1.6"
"e1071","1.7-3"
"effects","4.1-4"
"ellipse","0.4.1"
"ellipsis","0.3.0"
"estimability","1.3"
"evaluate","0.14"
"excelR","0.3.1"
"expm","0.999-4"
"extraDistr","1.8.11"
"fansi","0.4.0"
"faraway","1.0.7"
"farver","2.0.1"
"fastmap","1.0.1"
"fastmatch","1.1-0"
"fBasics","3042.89"
"fda","2.4.8"
"fda.usc","2.0.0"
"forcats","0.4.0"
"foreach","1.4.7"
"forecast","8.9"
"foreign","0.8-72"
"Formula","1.2-3"
"fracdiff","1.4-2"
"fRegression","3042.82"
"fTrading","3042.79"
"fUnitRoots","3042.79"
"gbm","2.1.5"
"gbRd","0.4-11"
"gdata","2.18.0"
"generics","0.0.2"
"geosphere","1.5-10"
"getPass","0.2-2"
"GGally","1.4.0"
"ggm","2.3"
"ggplot2","3.2.1"
"ggrepel","0.8.1"
"ggvis","0.4.5"
"glmnet","2.0-16"
"glue","1.3.1"
"gmodels","2.18.1"
"googleVis","0.6.4"
"gower","0.2.1"
"gplots","3.0.1.1"
